Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
354-IAP420+EU,IAP-420+-EU,ORing,https://ru.mouser.com/datasheet/2/763/DataSheet_IAP-420(_)-1222879.pdf,2  In Stock,$402.74,,,https://ru.mouser.com/ProductDetail/ORing/IAP-420%2b-EU?qs=j%2B1pi9TdxUaw22IcFN%2BnEg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IAP-420+-EU&utm_content=ORing,IAP-420,,,,,,,,,,,WiFi,,,,,,,,,,
924-EAR00323,EAR00323,Embedded Artists,https://ru.mouser.com/datasheet/2/131/1LV_M2_Datasheet-1591512.pdf,14  In Stock,$60.15,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Embedded-Artists/EAR00323?qs=3HJ2avRr9PLBVujGdButTw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EAR00323&utm_content=Embedded-Artists,EA M.2 Modules,802.11 a/b/g/n,"2.4 GHz, 5 GHz",,"4-Wire UART, SDIO",,3.3 V,,,- 20 C,+ 70 C,WiFi,,,,,,,,,,
332-ACM-DB-2U,ACM-DB-2U,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_ACM-DB-2U-1602261.pdf,1  In Stock,$316.30,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/ACM-DB-2U?qs=f9yNj16SXrLYyyy6GSGI%2Bg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ACM-DB-2U&utm_content=Doodle-Labs,ACM-DB,802.11 a/ac/b/g/n,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",1.3 Gb/s,PCIe,27 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,Bulk,,,,,
651-2702534,2702534,Phoenix Contact,https://ru.mouser.com/datasheet/2/324/4/2702534-1482961.pdf,1  In Stock,$835.34,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Phoenix-Contact/2702534?qs=0kYgdqhPduG3t5NF4XeJeA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2702534&utm_content=Phoenix-Contact,FL WLAN,,,,,,,,,0 C,+ 60 C,WiFi,,,,,,,,,,
485-4065,4065,Adafruit,,27  In Stock,$8.92,,,https://ru.mouser.com/ProductDetail/Adafruit/4065?qs=vLWxofP3U2w8SBnmN6UcvQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=4065&utm_content=Adafruit,,,,,"HSPI, I2C, I2S, UART",,,,,,,WiFi,,,,,,,,,,
963-WYSEGVDXG,WYSEGVDXG,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TY_WLAN_WYSEGVDXG_DataReport_V1.2E_20190927-1773497.pdf,75  In Stock,$42.15,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/WYSEGVDXG?qs=gZXFycFWdANeHj6A7a%2BZWg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WYSEGVDXG&utm_content=Taiyo-Yuden,,802.11 a/ac/b/g/n,"2.4 GHz, 5 GHz",433.3 Mb/s,,12 dBm,3.3 V,,,- 30 C,+ 85 C,WiFi,BLE,,,,Tray,,,,,
963-WYSACVLAY-WX,WYSACVLAY-WX,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TAIYO_YUDEN_WLAN_WYSACVLAY-WX_DataReport_V1.0E_202-1862124.pdf,100  In Stock,$31.64,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/WYSACVLAY-WX?qs=vmHwEFxEFR/UGRS7VjqEsw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WYSACVLAY-WX&utm_content=Taiyo-Yuden,,,2.412 GHz to 2.462GHz,,UART,,3.3 V,,,- 30 C,+ 85 C,,,,,,Tray,,,,,
963-WYSACVLAY-XZ,WYSACVLAY-XZ,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TAIYO_YUDEN_WLAN_WYSACVLAY-XZ_DataReport_V1.0E_202-1862169.pdf,98  In Stock,$32.88,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/WYSACVLAY-XZ?qs=vmHwEFxEFR/ENN4Cp0yUTQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WYSACVLAY-XZ&utm_content=Taiyo-Yuden,,,2.412 GHz to 2.462GHz,,UART,,3.3 V,,,- 30 C,+ 85 C,,,,,,Tray,,,,,
895-CLEO35-WIFI1,CleO35-WiFi1,Bridgetek,https://ru.mouser.com/datasheet/2/880/DS_CleO35_WIFI-1140601.pdf,21  In Stock,$47.51,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Bridgetek/CleO35-WiFi1?qs=gt1LBUVyoHkxVPQbNXimIQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CleO35-WiFi1&utm_content=Bridgetek,CleO35,802.11 b/g/n,2.4 GHz to 2.4825 GHz,-,UART,20 dBm,3.3 V,-,-,- 40 C,+ 85 C,WiFi,,,,,Bulk,,,,,
667-ENW-49C01AYKF,ENW-49C01AYKF,Panasonic,https://ru.mouser.com/datasheet/2/315/Panasonic_08262017_RF Module PAN9420-1196761.pdf,1  In Stock,$216.34,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Panasonic/ENW-49C01AYKF?qs=BZBei1rCqCDe%2BHZJcrycww==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ENW-49C01AYKF&utm_content=Panasonic,PAN9420,802.11 b/g/n,2.4 GHz,72 Mb/s,"JTAG, SPI, UART",16 dBm,3 V to 3.6 V,310 mA,75 mA,- 40 C,+ 85 C,WiFi,BLE,,,,Bulk,,,,,
600-APMN-Q551,APMN-Q551,Advantech,https://ru.mouser.com/datasheet/2/638/BB-APMN-Q551_DualBandAccessPointModule_2320ds20200-1888662.pdf,419  In Stock,$168.73,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Advantech/APMN-Q551?qs=ZLZ8689ywa11XtmBHgmJIw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APMN-Q551&utm_content=Advantech,,802.11 a/b/g/n,"2.4 GHz, 5 GHz","11 Mb/s, 54 Mb/s, 65 Mb/s",Serial,"12.6 dBm, 15 dBm, 17 dBm",3.3 V,370 mA,200 mA,- 40 C,+ 85 C,WiFi,,,,,,,,,,
923-EWMW158F01E,EWM-W158F01E,Advantech,https://ru.mouser.com/datasheet/2/638/Advantech_2520EWM-W158F01E_DS_V1.2_201903012019041-1131332.pdf,459  In Stock,$212.99,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Advantech/EWM-W158F01E?qs=vaA%2B7n%2Bidi6StSfHdzBYRA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EWM-W158F01E&utm_content=Advantech,,802.11 a/b/g/n,"2.4 GHz, 5 GHz",300 Mb/s,PCIe,,3.3 V,700 mA,,- 40 C,+ 85 C,WiFi,,,,,,,,,,
600-ABDN-ER-DP551U,ABDN-ER-DP551U,B+B SmartWorx,http://www.bb-elec.com/Products/Datasheets/AirborneM2M-Enterprise_3714ds-pdf.pdf,113  In Stock,$426.01,RoHS Compliant,,https://ru.mouser.com/ProductDetail/B%2bB-SmartWorx/ABDN-ER-DP551U?qs=CoW5K/Mp/72GbFtXaWWAcg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABDN-ER-DP551U&utm_content=B+B-SmartWorx,,802.11 a/b/g/n,"2.4 GHz, 5 GHz","10 Mb/s, 100 Mb/s",,17 dBm,5 V,550 mA,200 mA,- 20 C,+ 85 C,WiFi,,,,,,,,,,
603-WF111-E,WF111-E,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wf111-datasheet-1372094.pdf,241  In Stock,$17.02,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF111-E?qs=7aGripZI59mM0GQjjIEiFg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF111-E&utm_content=Silicon-Labs,WF111,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","CSPI, SDIO, UART, USB",17 dBm,"1.8 V, 3.3 V",,,- 40 C,+ 85 C,WiFi,,,,,"Cut Tape, MouseReel, Reel",,,,,
630-BCM4352KMLG,BCM4352KMLG,Broadcom / Avago,,445  In Stock,$20.55,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Broadcom-Avago/BCM4352KMLG?qs=AsTZqt/meqlQsudfClx1pQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BCM4352KMLG&utm_content=Broadcom-/-Avago,,,,,,,,,,,,WiFi,,,,,,,,,,
347-ISM43903R48L54U,ISM43903-R48-L54-U,Inventek,https://ru.mouser.com/datasheet/2/908/ISM43903_Functional_Spec-2-1371160.pdf,353  In Stock,$23.29,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Inventek/ISM43903-R48-L54-U?qs=MLItCLRbWsztjaRslWcmiQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ISM43903-R48-L54-U&utm_content=Inventek,ISM43903,802.11 b/g/n,2.4 GHz,72.2 Mb/s,UART,17 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,BLE,,,,Tray,,,,,
347-ISM43907WBML170,ISM43907-WBM-L170,Inventek,,165  In Stock,$25.47,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Inventek/ISM43907-WBM-L170?qs=MLItCLRbWszkTeh5Vq478Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ISM43907-WBM-L170&utm_content=Inventek,ISM43907,802.11 n,"2.4 GHz, 5 GHz",,,,3.3 V,,,,,WiFi,"Bluetooth, BLE",,,,Tray,,,,,
603-WF121-E,WF121-E,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_WF121_Datasheet-1203323.pdf,148  In Stock,$30.91,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF121-E?qs=7aGripZI59mpjBqkf46fAg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF121-E&utm_content=Silicon-Labs,WF121,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","Ethernet, GPIO, I2C, SPI, UART, USB",17 dBm,"3.3 V, 2.7 V to 4.8 V",143 mA,127 mA,- 40 C,+ 85 C,WiFi,,,,,,,,,,
603-WF121-A,WF121-A,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_WF121_Datasheet-1203323.pdf,453  In Stock,$30.91,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF121-A?qs=7aGripZI59mH6v/nZfCTdg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF121-A&utm_content=Silicon-Labs,WF121,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","Ethernet, GPIO, I2C, SPI, UART, USB",17 dBm,"3.3 V, 2.7 V to 4.8 V",143 mA,127 mA,- 40 C,+ 85 C,WiFi,,,,,"Cut Tape, Reel",,,,,
634-WGM110A1MV1,WGM110A1MV1,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wgm110_datasheet-1036080.pdf,337  In Stock,$31.92,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WGM110A1MV1?qs=GTwwGWkfii1NxEhRT3Z/Lg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WGM110A1MV1&utm_content=Silicon-Labs,WGM110,802.11 b/g/n,2.412 GHz to 2.472 GHz,72.2 Mb/s,"I2C, SPI, USB","15 dBm, 16 dBm",3.3 V,261 mA,81 mA,- 40 C,+ 85 C,WiFi,BLE,,,,Cut Tape,,,,,
595-3100MODR11MAMOBT,CC3100MODR11MAMOBT,Texas Instruments,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2FCC3100MOD,276  In Stock,$33.15,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Texas-Instruments/CC3100MODR11MAMOBT?qs=S0GpHP26UDIosBj8aHgfDQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CC3100MODR11MAMOBT&utm_content=Texas-Instruments,CC3100MOD,,,16 Mb/s,,,,,,- 20 C,+ 70 C,WiFi,,,,,"Cut Tape, MouseReel, Reel",,,,,
607-7265.NGWG.W,7265.NGWG.W,Intel,https://ru.mouser.com/datasheet/2/612/dual-band-wireless-ac-7265-brief-1842805.pdf,Lead-Time 6 Weeks,$39.95,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Intel/7265NGWGW?qs=j7vQ5zsWsOrafey92emZRA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=7265.NGWG.W&utm_content=Intel,,,,,,,,,,,,WiFi,Bluetooth,,,,,,,,,
607-7265.NGWWB.W,7265.NGWWB.W,Intel,https://ru.mouser.com/datasheet/2/612/dual-band-wireless-ac-7265-brief-1842805.pdf,128  In Stock,$39.95,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Intel/7265NGWWBW?qs=j7vQ5zsWsOoOTDkXjrOwwQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=7265.NGWWB.W&utm_content=Intel,,,,,,,,,,,,WiFi,Bluetooth,,,,,,,,,
409-UPWIFIKITA107001,UP-WIFIKIT-A10-7001,AAEON UP,https://ru.mouser.com/datasheet/2/826/GWF-7M02_spec_V1.2 FANGTEC 160822 -1144511.pdf,89  In Stock,$46.38,,,https://ru.mouser.com/ProductDetail/AAEON-UP/UP-WIFIKIT-A10-7001?qs=AQlKX63v8RtXc0g3upJMuA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UP-WIFIKIT-A10-7001&utm_content=AAEON-UP,,802.11 b/g/n,2.4 GHz,"54 Mb/s, 150 Mb/s",USB,"14 dBm, 16 dBm, 18 dBm",5 V,250 mA,6 mA,- 20 C,+ 70 C,WiFi,,,,,Bulk,,,,,
579-MRF24WG0MA-I/RM,MRF24WG0MA-I/RM,Microchip Technology,https://ru.mouser.com/datasheet/2/268/70686B-217848.pdf,87  In Stock,$45.37,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/MRF24WG0MA-I-RM?qs=gafx1s4uymxDehpkKPsiUg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MRF24WG0MA-I/RM&utm_content=Microchip-Technology,MRF24J40,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s","4-Wire, SPI","16 dBm, 18 dBm",2.8 V to 3.6 V,240 mA,156 mA,- 40 C,+ 85 C,WiFi,,,,,Tray,,,,,
579-RN131CRM481,RN131C/RM481,Microchip Technology,https://ru.mouser.com/datasheet/2/268/50002230B-977418.pdf,77  In Stock,$54.90,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN131C-RM481?qs=Gd3Cm49KlLN7tAnz8uWUZg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN131C/RM481&utm_content=Microchip-Technology,RN131,802.11 b/g,2.405 GHz to 2.48 GHz,1 Mb/s,"SPI, UART",18 dBm,3.3 V,210 mA,40 mA,0 C,+ 70 C,WiFi,,,,,Tray,,,,,
765-RN-XV-S,RN171XVS-I/RM,Microchip Technology,https://ru.mouser.com/datasheet/2/268/rn-171-xv-ds-v1.04r-737505.pdf,40  In Stock,$59.52,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN171XVS-I-RM?qs=sVdVlwbC4Qh2F3Icf20/XA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN171XVS-I/RM&utm_content=Microchip-Technology,RN171XV,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s",UART,12 dBm,3.3 V,180 mA,40 mA,- 40 C,+ 85 C,WiFi,,,"802.15.4 (ANT, Thread, Zigbee)",,Bulk,,,,,
888-XB2B-WFPS-001,XB2B-WFPS-001,DIGI,https://ru.mouser.com/datasheet/2/111/ds_xbeewifis6b-794453.pdf,44  In Stock,$61.22,RoHS Compliant,,https://ru.mouser.com/ProductDetail/DIGI/XB2B-WFPS-001?qs=NnxJOTDiCpMA4dfbwsXxnw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=XB2B-WFPS-001&utm_content=DIGI,,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s","SPI, UART",16 dBm,3.3 V,309 mA,100 mA,- 30 C,+ 85 C,WiFi,,,,,,,,,,
755-BP3591,BP3591,ROHM Semiconductor,https://ru.mouser.com/datasheet/2/348/bp3580_npb-e-1874488.pdf,60  In Stock,$147.61,RoHS Compliant,,https://ru.mouser.com/ProductDetail/ROHM-Semiconductor/BP3591?qs=FwrL%2BevIYAbut1Wl/TnZBA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BP3591&utm_content=ROHM-Semiconductor,,802.11 b/g/n,2.4 GHz to 2.4835 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","SDIO, UART, USB","15 dBm, 13 dBm, 12 dBm",3.3 V,340 mA,240 mA,- 40 C,+ 85 C,WiFi,,,,,Bulk,,,,,
600-WLNN-SE-DP551,WLNN-SE-DP551,B+B SmartWorx,http://www.bb-elec.com/Products/Datasheets/WLNN-XX-DP551-Series-Data-Sheet-(1)-pdf.pdf,45  In Stock,$152.03,RoHS Compliant,,https://ru.mouser.com/ProductDetail/B%2bB-SmartWorx/WLNN-SE-DP551?qs=ZLZ8689ywa3v/nr9v0Cm3Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WLNN-SE-DP551&utm_content=B+B-SmartWorx,,802.11 a/b/g/n,2.4 GHz to 2.4835 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s",Serial,"12.6 dBm, 15 dBm, 17 dBm",3.3 V,370 mA,200 mA,- 40 C,+ 85 C,WiFi,,,,,,,,,,
600-ABDN-ER-DP551,ABDN-ER-DP551,B+B SmartWorx,http://www.bb-elec.com/Products/Datasheets/AirborneM2M-Enterprise-Series_3913ds-pdf.pdf,22  In Stock,$483.94,RoHS Compliant,,https://ru.mouser.com/ProductDetail/B%2bB-SmartWorx/ABDN-ER-DP551?qs=J5BXdFJ5kQIoX3PL0fECtw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABDN-ER-DP551&utm_content=B+B-SmartWorx,,802.11 a/b/g/n,"2.4 GHz, 5 GHz",65 Mb/s,Ethernet,17 dBm,5 V,,,- 40 C,+ 85 C,WiFi,,,,,,,,,,
81-LBWA1ZV1CD-716,LBWA1ZV1CD-716,Murata Electronics,https://ru.mouser.com/datasheet/2/281/lbwa1zv1cd-716-837119.pdf,979  In Stock,$29.26,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Murata-Electronics/LBWA1ZV1CD-716?qs=Cjyk6PWk/MiR4EIqy9uyMw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBWA1ZV1CD-716&utm_content=Murata-Electronics,1CD,802.11 b/g/n,2.4 GHz,11 Mb/s,,17 dBm,3.3 V,295 mA,125 mA,- 40 C,+ 85 C,WiFi,,,,,,,,,,
551-CMP9377-UC,CMP9377-UC,CEL,https://ru.mouser.com/datasheet/2/286/CMP9377-1621243.pdf,380  In Stock,$68.37,RoHS Compliant,New At Mouser,https://ru.mouser.com/ProductDetail/CEL/CMP9377-UC?qs=%2B6g0mu59x7J9u1dr6k93Yg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CMP9377-UC&utm_content=CEL,CMP9377,802.11 a/ac/b/g/n,"2.4 GHz, 5 GHz",,"USB, PCIe",20 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,BLE,,,,Tray,,,,,
220-TNL-FIW103,TnL-FIW103,IoTize,https://ru.mouser.com/datasheet/2/1101/DS_TapNLink_TnLFIW10x-1901918.pdf,160  In Stock,$84.22,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/IoTize/TnL-FIW103?qs=DPoM0jnrROURuuDef%2BzGXg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TnL-FIW103&utm_content=IoTize,TnL,,2.402 GHz to 2.48 GHz,,,16 dBm,2.3 V to 3.6 V,"7 mA, 110 mA, 65 mA","7 mA, 50 mA, 65 mA",- 20 C,+ 55 C,WiFi,BLE,,,,,,,,,
556-ATWINC1500MR210U,ATWINC1500-MR210UB,Microchip Technology / Atmel,https://ru.mouser.com/datasheet/2/268/ATWINC15x0_MR210xB_IEEE_802_11_b_g_n_SmartConnect_-1507285.pdf,439  In Stock,$28.69,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATWINC1500-MR210UB?qs=QB0ovJDgFgt9/83w%2BaYw3w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ATWINC1500-MR210UB&utm_content=Microchip-Technology-/-Atmel,ATWINC1500,802.11 b/g/n,2.4 GHz,72.2 Mb/s,Serial,18.5 dBm,2.7 V to 3.6 V,266 mA,61 mA,- 40 C,+ 85 C,WiFi,,,,,,,,,,
485-1030,1030,Adafruit,,92  In Stock,$32.36,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Adafruit/1030?qs=GURawfaeGuDayVAvxlYL4Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1030&utm_content=Adafruit,,,,,,,,,,,,WiFi,,,,,,,,,,
365-L01,L01,Pycom,https://ru.mouser.com/datasheet/2/872/l01Specsheet-1519057.pdf,516  In Stock,$37.23,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Pycom/L01?qs=EU6FO9ffTwdMsvLaw8FvWQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=L01&utm_content=Pycom,L01,802.11 b/g/n,"868 MHz, 915 MHz",16 Mb/s,"I2C, I2S, SPI, UART",,3.3 V,,,- 40 C,+ 85 C,WiFi,BLE,,,,"Cut Tape, Reel",,,,,
765-RN-131G,RN131G-I/RM,Microchip Technology,https://ru.mouser.com/datasheet/2/268/rn-131-ds-v3.2r-1181126.pdf,228  In Stock,$63.14,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN131G-I-RM?qs=fjUSk1uVlpC2KBaGs7f%2BEA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN131G-I/RM&utm_content=Microchip-Technology,RN131,802.11 b/g,2.4 GHz,"11 Mb/s, 54 Mb/s","SPI, UART",18 dBm,3.3 V,210 mA,40 mA,- 40 C,+ 85 C,WiFi,,,,,Tray,,,,,
556-ATWILC3000MR110U,ATWILC3000-MR110UA,Microchip Technology / Atmel,https://ru.mouser.com/datasheet/2/268/IEEE_802_11_b_g_n_Link_Controller_Module_with_Inte-1923547.pdf,233  In Stock,$16.28,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATWILC3000-MR110UA?qs=9KdFJXLqUo8YFq80BDYXFQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ATWILC3000-MR110UA&utm_content=Microchip-Technology-/-Atmel,,802.11 b/g/n,2.412 GHz to 2.472 GHz,72 Mb/s,"SDIO, SPI, UART",18.5 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,Bluetooth,,,,Tray,,,,,
556-ATWILC3000MR110C,ATWILC3000-MR110CA,Microchip Technology / Atmel,https://ru.mouser.com/datasheet/2/268/IEEE_802_11_b_g_n_Link_Controller_Module_with_Inte-1923547.pdf,825  In Stock,$16.76,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATWILC3000-MR110CA?qs=9KdFJXLqUo%2BfAV4khUOwHQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ATWILC3000-MR110CA&utm_content=Microchip-Technology-/-Atmel,,802.11 b/g/n,2.4 GHz,72 Mb/s,"SDIO, SPI",18.5 dBm,3.3 V,,,- 40 C,+ 85 C,WiFi,Bluetooth,,,,Tray,,,,,
888-XB2B-WFPT-001,XB2B-WFPT-001,DIGI,https://ru.mouser.com/datasheet/2/111/ds_xbeewifis6b-794453.pdf,101  In Stock,$61.22,RoHS Compliant,,https://ru.mouser.com/ProductDetail/DIGI/XB2B-WFPT-001?qs=NnxJOTDiCpOnHzkgXnyelA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=XB2B-WFPT-001&utm_content=DIGI,,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s","SPI, UART",16 dBm,3.3 V,309 mA,100 mA,- 30 C,+ 85 C,WiFi,,,,,,,,,,
888-XB2B-WFWT-001,XB2B-WFWT-001,DIGI,https://ru.mouser.com/datasheet/2/111/ds_xbeewifis6b-794453.pdf,135  In Stock,$61.22,RoHS Compliant,,https://ru.mouser.com/ProductDetail/DIGI/XB2B-WFWT-001?qs=NnxJOTDiCpO130Sm/t%2Bu6A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=XB2B-WFWT-001&utm_content=DIGI,,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s","SPI, UART",16 dBm,3.3 V,309 mA,100 mA,- 30 C,+ 85 C,WiFi,,,,,,,,,,
888-XB2B-WFUT-001,XB2B-WFUT-001,DIGI,https://ru.mouser.com/datasheet/2/111/ds_xbeewifis6b-794453.pdf,76  In Stock,$61.22,RoHS Compliant,,https://ru.mouser.com/ProductDetail/DIGI/XB2B-WFUT-001?qs=NnxJOTDiCpO5rzyMgvl9Fw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=XB2B-WFUT-001&utm_content=DIGI,,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s","SPI, UART",16 dBm,3.3 V,309 mA,100 mA,- 30 C,+ 85 C,WiFi,,,,,,,,,,
888-XB2B-WFST-001,XB2B-WFST-001,DIGI,https://ru.mouser.com/datasheet/2/111/ds_xbeewifis6b-794453.pdf,210  In Stock,$61.22,RoHS Compliant,,https://ru.mouser.com/ProductDetail/DIGI/XB2B-WFST-001?qs=NnxJOTDiCpM4EnkS2FAtgw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=XB2B-WFST-001&utm_content=DIGI,,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 65 Mb/s","SPI, UART",16 dBm,3.3 V,309 mA,100 mA,- 30 C,+ 85 C,WiFi,,,,,,,,,,
888-WVA-J200,WVA-J200,DIGI,https://ru.mouser.com/datasheet/2/111/ds_wva-1099599.pdf,9  In Stock,$390.10,RoHS Compliant,,https://ru.mouser.com/ProductDetail/DIGI/WVA-J200?qs=W1Xk6kxV7kjRBEhFByd5ZQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WVA-J200&utm_content=DIGI,,802.11 b/g/n,-,72.2 Mb/s,"CAN, USB",2.5 W,36 V,,,- 40 C,+ 70 C,WiFi,,,,,,,,,,
